ID,DOMAIN
357133,35000 35000 35000 115000.0 0 6.83 A 3 years 1 RENT
436735,16000 16000 16000 54000.0 1 13.59 C 10+ years 0 MORTGAGE
58866,3000 3000 3000 66000.0 0 12.79 C < 1 year 1 RENT
28738,10500 10500 10500 35000.0 1 9.92 B 8 years 2 RENT
190347,25000 25000 25000 70000.0 0 12.74 C 10+ years 0 OWN
335453,35000 35000 35000 110000.0 1 12.99 C < 1 year 0 RENT
254943,30000 30000 30000 300000.0 0 16.91 C 4 years 1 MORTGAGE
85222,5000 5000 5000 58500.0 0 14.49 C 5 years 0 RENT
7764,12200 12200 12175 110000.0 0 14.33 C 10+ years 2 RENT
200557,8000 8000 8000 60032.0 0 12.05 C 10+ years 1 RENT


