ID,DOMAIN,COUNT
129173,3000 3000 3000 89000.0 0 10.42 B 10+ years 0 OWN,1
770462,14000 14000 14000 60000.0 0 8.39 A 5 years 2 OWN,1
325037,24000 24000 24000 62700.0 0 9.17 B nan 2 RENT,1
77033,16800 16800 16800 85000.0 1 16.14 C 1 year 1 OWN,1
510621,27525 27525 27525 60000.0 1 13.98 C nan 0 MORTGAGE,1
609652,9000 9000 8725 80000.0 0 10.9 B 10+ years 1 MORTGAGE,1
724756,21000 21000 21000 130000.0 0 6.49 A 8 years 0 OWN,1
898331,12000 12000 12000 37000.0 1 12.62 C 4 years 1 RENT,1
296992,19575 19575 19525 74000.0 1 17.57 D 9 years 0 MORTGAGE,1
475643,27575 27575 27575 104000.0 0 15.04 C 4 years 2 MORTGAGE,1
374959,30000 30000 30000 90000.0 1 13.99 C 4 years 0 MORTGAGE,1
831524,9250 9250 9250 85300.0 0 20.99 E 10+ years 1 RENT,1
496779,35000 35000 35000 146000.0 0 11.99 B 9 years 1 MORTGAGE,1
722313,8000 8000 7758 30000.0 1 6.54 A 5 years 2 RENT,1
383441,10000 10000 10000 63000.0 0 19.03 D 10+ years 2 RENT,1
844307,4000 4000 4000 62000.0 0 6.11 A 10+ years 2 RENT,1
169670,30000 30000 30000 180000.0 1 19.03 D < 1 year 1 RENT,1
861965,18250 18250 18250 42000.0 0 17.1 C 10+ years 2 OWN,1
729655,23000 23000 23000 130000.0 0 8.18 B 9 years 1 MORTGAGE,1
864936,10000 10000 10000 55000.0 0 12.12 B < 1 year 2 RENT,1
360160,15000 15000 14975 65000.0 0 18.06 D 10+ years 2 MORTGAGE,1
270859,30000 30000 30000 60000.0 0 10.08 B 4 years 1 RENT,1
774310,10000 10000 10000 120000.0 1 14.07 C 10+ years 0 MORTGAGE,1
30183,25000 25000 25000 65000.0 1 12.99 C 6 years 1 MORTGAGE,1
328397,32000 32000 32000 115000.0 0 10.49 B 10+ years 1 RENT,1
385493,16000 16000 16000 65000.0 1 14.99 C 9 years 1 OWN,1
817692,9000 9000 9000 30200.0 0 14.48 C 2 years 0 RENT,1
754580,14000 14000 14000 112000.0 0 8.67 B 7 years 2 MORTGAGE,1
697522,3600 3600 3600 75000.0 0 11.55 B 5 years 1 RENT,1
738046,3500 3500 3500 95000.0 0 6.97 A 1 year 2 MORTGAGE,1
915594,8800 8800 8800 20000.0 0 11.67 B 3 years 2 MORTGAGE,1
195200,13200 13200 13200 65400.0 1 9.43 B 10+ years 2 MORTGAGE,1
205308,2000 2000 2000 21000.0 0 13.49 C 8 years 1 RENT,1
945486,4000 4000 4000 106000.0 0 7.59 A 10+ years 1 MORTGAGE,1
13862,12800 12800 12800 60000.0 1 16.02 C 4 years 1 RENT,1
857875,11250 11250 11250 41000.0 1 26.99 F 7 years 0 RENT,1
282499,13000 13000 13000 50000.0 0 6.08 A 5 years 2 RENT,1
800493,8750 8750 8750 42000.0 0 17.86 D 10+ years 0 RENT,1
453981,20000 20000 20000 98000.0 1 15.59 C 10+ years 1 MORTGAGE,1
888168,8950 8950 8950 50000.0 0 14.48 C 2 years 1 OWN,1
6561,5600 5600 5600 60000.0 0 26.31 E 5 years 2 MORTGAGE,1
479948,5000 5000 5000 55000.0 0 17.09 D 2 years 1 RENT,1
503198,15000 15000 15000 21912.0 0 16.91 C nan 0 ANY,1
565868,7300 7300 7300 34000.0 0 15.59 D 10+ years 1 RENT,1
419611,10000 10000 10000 32000.0 0 12.74 C nan 0 OWN,1
651351,16000 16000 16000 120000.0 0 7.62 A 3 years 2 RENT,1
840293,30000 30000 30000 77000.0 1 9.17 B 10+ years 1 MORTGAGE,1
66031,35000 35000 34750 202000.0 0 21.48 E 10+ years 0 MORTGAGE,1
246880,20000 20000 20000 65000.0 1 10.99 B 8 years 2 RENT,1
551403,12000 12000 12000 125000.0 1 12.61 C 10+ years 1 MORTGAGE,1
