ID,DOMAIN,COUNT
129173,15000 15000 15000 103000 0 13 4 8 2 5,1
770462,28000 28000 28000 87000 1 7 2 5 1 1,1
325037,11475 11475 11475 27372 0 14 3 -1 0 0,1
77033,6475 6475 6475 62424 0 12 3 7 1 5,1
510621,24000 24000 24000 31000 1 7 2 8 2 1,1
609652,30000 30000 30000 90000 1 14 3 0 1 0,1
724756,30000 30000 29975 105000 0 16 3 3 0 5,1
898331,16000 16000 16000 71000 0 12 3 4 1 5,1
296992,5000 5000 5000 127000 0 8 4 2 2 1,1
475643,18000 18000 18000 325000 0 7 2 6 1 1,1
374959,10000 10000 10000 74500 1 15 3 10 2 5,1
831524,30000 30000 30000 109000 0 9 4 5 1 1,1
496779,14125 14125 14125 48000 0 13 3 6 2 5,1
722313,15000 15000 15000 63000 1 9 4 1 2 1,1
383441,11000 11000 11000 59000 0 13 3 10 2 5,1
844307,30000 30000 29550 109900 0 12 4 10 0 1,1
169670,12000 12000 12000 58000 1 24 5 10 0 1,1
861965,20000 20000 19975 100000 0 20 0 4 2 5,1
729655,24000 24000 24000 65000 1 28 5 10 2 0,1
864936,14500 14500 14475 64000 0 14 4 1 0 5,1
360160,11000 11000 11000 210000 0 6 2 10 1 1,1
270859,16875 16875 16875 145300 0 15 3 3 1 1,1
774310,35000 35000 35000 150000 1 9 4 5 0 1,1
30183,17000 12025 12025 94000 1 15 0 4 1 1,1
328397,1500 1500 1500 31000 0 13 3 2 2 5,1
385493,15000 15000 15000 86000 0 10 4 0 1 0,1
817692,25000 25000 25000 90000 0 17 0 5 0 1,1
754580,9000 9000 9000 58000 0 9 4 3 1 1,1
697522,14000 14000 14000 74000 0 14 3 4 0 1,1
738046,10000 10000 10000 115000 1 16 3 10 2 1,1
915594,11200 11200 11200 59000 0 10 4 2 1 5,1
195200,15000 15000 15000 46000 1 16 0 6 0 0,1
205308,14000 14000 14000 38000 0 15 3 7 1 5,1
945486,24000 24000 24000 60000 1 14 3 5 2 5,1
13862,20000 20000 20000 48600 1 21 1 4 0 1,1
857875,3000 3000 3000 52394 0 6 2 10 1 5,1
282499,21000 21000 21000 120000 0 13 3 6 0 1,1
800493,9625 9625 9625 45000 0 18 1 10 2 1,1
