ID,DOMAIN,COUNT
1406,2850 2850 2825 32000 0 19 1 0 0 1,1
2053,4000 4000 4000 50000 0 13 3 3 2 5,1
12217,15000 15000 15000 40000 1 16 3 1 2 5,1
9794,13200 13200 13200 89000 0 5 2 9 2 0,1
2802,10000 10000 10000 27500 1 16 3 0 1 5,1
13288,30000 30000 30000 75000 1 14 3 1 0 0,1
8549,12000 12000 12000 97000 0 11 4 2 0 5,1
3481,7200 7200 7200 18000 0 14 3 4 1 5,1
19828,15000 15000 15000 52000 0 8 2 6 2 5,1
16550,24000 24000 23750 92000 0 7 2 4 1 5,1
1087,17000 17000 17000 78000 0 11 4 10 1 5,1
12492,15000 15000 15000 53000 0 9 4 7 1 1,1
3886,15000 15000 15000 45000 1 7 2 1 2 1,1
18189,5950 5950 5950 24000 0 16 0 0 1 1,1
14263,30000 30000 30000 140000 1 12 3 2 1 1,1
12620,20000 20000 20000 40000 0 17 0 8 0 5,1
65,12000 12000 12000 37440 1 9 4 0 0 5,1
8608,9050 9050 9050 35000 0 17 3 9 2 5,1
7217,25000 25000 24975 60000 1 16 0 -1 2 1,1
4459,3000 3000 3000 70000 0 13 4 7 2 1,1
13512,1700 1700 1700 28000 0 12 4 4 1 1,1
12560,16950 16950 16875 51000 0 10 4 6 2 5,1
12516,9300 9300 9100 43000 1 10 4 3 0 1,1
8852,25000 25000 25000 61000 1 28 5 10 1 1,1
1704,6000 6000 6000 27552 0 6 2 0 2 0,1
6938,3500 3500 3500 14000 0 21 0 -1 2 5,1
19825,24000 24000 24000 72000 1 24 1 10 0 1,1
3155,4000 4000 4000 15120 0 10 4 0 1 5,1
7376,20000 20000 20000 74727 1 18 0 2 2 5,1
5225,9750 9750 9750 45000 0 14 3 4 2 5,1
8173,21200 21200 21175 80000 1 22 5 2 0 1,1
14353,5000 5000 4950 65000 0 18 0 10 2 1,1
17939,19000 19000 19000 45399 0 6 2 1 2 5,1
13646,24000 24000 24000 190000 1 15 3 2 1 1,1
1982,16000 16000 16000 97000 0 6 2 4 1 1,1
14885,10000 10000 10000 67000 0 12 3 3 1 5,1
2777,15000 15000 15000 82000 1 14 3 9 2 1,1
19572,11200 11200 11200 42000 1 9 4 10 1 1,1
5498,2000 2000 2000 12000 0 12 4 0 2 5,1
8915,13500 13500 13500 60000 0 9 4 9 2 5,1
5424,3000 3000 3000 65000 0 7 2 9 1 1,1
4577,20000 20000 20000 46000 0 17 0 1 0 0,1
7497,15125 15125 15125 51000 0 21 0 2 0 5,1
16874,7125 7125 7125 30000 0 17 0 0 0 5,1
19360,11325 11325 11325 35976 1 22 5 3 0 5,1
12284,19225 19225 19225 90000 0 19 0 10 1 0,1
15583,14000 14000 14000 121000 1 16 3 10 2 1,1
1446,17000 17000 17000 116000 1 14 3 7 1 1,1
6767,14000 14000 14000 46500 1 17 0 2 0 1,1
9396,5000 5000 5000 42000 0 19 0 3 2 5,1
9182,28000 28000 28000 106000 0 12 3 9 2 1,1
17584,2000 2000 2000 46000 0 12 3 1 1 5,1
18344,21000 21000 21000 100000 1 15 3 0 0 0,1
17124,30000 30000 30000 120000 1 14 3 0 2 5,1
15685,28000 28000 28000 92175 1 22 1 9 1 1,1
12251,14000 14000 14000 74000 0 5 2 0 2 5,1
4058,9800 9800 9800 80000 0 8 4 10 1 1,1
1842,10000 10000 9650 197004 1 9 4 10 0 1,1
7207,8000 8000 8000 28000 0 10 4 1 2 5,1
10168,13000 13000 12975 50000 0 17 3 10 2 5,1
1828,12175 12175 12175 104320 1 6 0 10 0 1,1
17592,15000 15000 15000 123000 1 15 0 2 0 1,1
7269,24000 24000 24000 110000 1 17 0 8 0 1,1
18070,5000 5000 5000 26500 0 12 4 3 2 1,1
18364,23900 23900 23850 65000 1 22 1 -1 0 1,1
16263,24000 24000 24000 178000 1 14 3 10 0 1,1
13501,10800 10800 10800 71000 0 6 2 5 2 5,1
13533,30000 30000 30000 90000 0 13 3 5 1 5,1
15002,18000 18000 18000 48000 0 12 3 0 2 1,1
11133,5500 5500 5500 75000 0 14 3 2 1 5,1
16422,5425 5425 5425 45000 0 18 0 4 0 5,1
3636,12800 12800 12800 95000 0 6 2 7 1 5,1
8285,3000 3000 3000 29700 0 14 3 3 0 1,1
6673,10000 10000 10000 41000 0 16 3 1 1 5,1
6259,24800 24800 24800 190000 0 7 2 4 1 1,1
6792,18575 18575 18575 92000 0 17 0 7 1 1,1
14463,5500 5500 5500 42000 0 12 3 9 1 5,1
5628,32000 32000 32000 135000 0 8 2 8 1 1,1
11690,12000 12000 11950 68000 0 8 4 4 2 1,1
14593,18000 18000 18000 79400 0 6 2 -1 2 1,1
8548,27500 27500 27500 104000 1 17 0 10 1 1,1
16911,11400 11400 11400 60000 0 10 4 0 1 0,1
7659,15000 15000 14975 55345 0 9 4 0 2 5,1
16372,24000 24000 24000 96000 1 13 3 1 0 1,1
523,11200 11200 11200 80000 0 9 4 1 2 1,1
5950,18400 18400 18350 40000 0 16 0 9 1 5,1
7280,16725 16725 16725 58000 1 21 1 8 0 1,1
18819,5000 5000 848 54996 0 10 4 0 2 5,1
3180,2000 2000 2000 50000 0 14 3 9 1 5,1
12678,19300 19300 19300 46000 1 26 1 0 1 5,1
7856,10000 10000 10000 90000 1 15 3 10 1 1,1
3974,32000 32000 32000 93000 1 20 0 5 0 5,1
7527,14025 14025 14025 39000 1 19 1 0 1 5,1
6387,14400 14400 14400 80000 1 9 4 10 1 5,1
6019,8400 8400 8400 65000 0 12 3 1 0 5,1
2004,35000 35000 35000 200000 1 16 3 6 0 5,1
8211,6000 6000 6000 100000 0 12 4 10 1 1,1
8056,20000 20000 20000 108500 1 12 3 10 1 1,1
9855,16000 16000 16000 83769 0 7 2 4 2 5,1
7700,21075 21075 21075 50000 1 16 0 3 0 5,1
16080,20400 20400 20400 120000 1 24 1 10 1 5,1
10199,1400 1400 1400 24996 0 14 3 3 1 5,1
11780,16450 16450 16400 47000 0 12 4 10 0 1,1
16341,32000 32000 32000 30000 1 10 4 5 0 1,1
11701,8900 8900 8900 70000 0 6 2 2 2 1,1
10564,12000 12000 12000 105000 1 9 4 5 2 0,1
15408,24000 24000 24000 90000 1 16 3 6 0 0,1
3969,9700 9700 9700 58000 0 7 2 10 1 1,1
4802,17625 17625 17625 40324 0 12 4 10 1 5,1
6203,4000 4000 4000 94000 0 12 3 10 2 0,1
14348,32000 32000 32000 121000 1 13 3 4 1 1,1
3710,11900 11900 11900 39000 0 9 4 2 0 1,1
2284,20000 20000 20000 67000 0 13 3 0 0 1,1
4470,37675 37675 37675 100000 1 9 4 8 0 5,1
16969,2400 2400 2400 72000 0 17 0 10 0 5,1
11155,9975 9975 9975 80000 0 18 1 10 1 5,1
6656,10500 10500 10500 93936 0 12 3 7 1 1,1
4523,25000 25000 25000 109000 0 7 2 6 0 1,1
9868,35000 35000 35000 110000 0 7 2 6 2 1,1
10088,16500 16500 16250 77195 0 6 2 10 2 5,1
13799,12000 12000 12000 80077 0 6 2 6 0 1,1
19587,10900 10900 10900 36000 0 12 3 10 0 1,1
13215,18000 18000 18000 75000 0 16 3 10 2 1,1
509,17050 17050 17050 42000 1 21 1 3 0 1,1
429,16000 16000 16000 32000 0 17 0 -1 0 1,1
12025,35000 35000 35000 102000 1 17 0 6 1 1,1
702,6075 6075 6075 45600 0 11 4 -1 1 1,1
15664,28000 28000 28000 220000 0 13 3 10 1 1,1
11927,3025 3025 3025 22000 0 17 3 3 0 1,1
15966,20950 20950 20950 90000 0 8 2 5 2 5,1
4799,9000 9000 9000 85000 1 12 4 10 0 5,1
17458,6200 6200 6200 65000 0 7 2 10 2 5,1
19306,7600 7600 7600 34500 0 7 2 1 0 5,1
9440,7375 7375 7375 73200 0 6 2 2 2 5,1
8871,6000 6000 6000 63500 0 7 2 0 1 1,1
13472,3150 3150 3150 40266 0 15 3 4 0 5,1
18998,2000 2000 2000 20000 0 20 0 3 0 5,1
13236,12000 12000 12000 38726 0 16 0 3 0 5,1
16992,24000 24000 24000 85000 1 13 3 8 1 5,1
2018,21000 21000 20875 46500 0 9 4 10 1 1,1
11430,5000 5000 5000 43800 0 10 4 4 0 5,1
8609,15600 15600 15600 70000 0 9 4 3 1 5,1
16849,15575 15575 15575 95000 0 10 4 0 0 1,1
2762,6400 6400 6400 40000 0 12 4 1 2 0,1
10333,15375 15375 15375 35000 1 15 0 -1 0 0,1
2797,10000 10000 9900 50000 0 10 4 7 2 1,1
9236,6300 6300 6300 23000 0 17 0 10 1 0,1
1052,3600 3600 3600 19000 0 6 2 10 1 0,1
3318,15000 15000 15000 160000 0 6 2 0 1 5,1
15164,16000 16000 16000 93600 1 9 4 7 2 1,1
9366,16800 16800 16800 65200 0 8 4 -1 1 1,1
13808,14350 14350 14350 32642 1 15 3 -1 0 5,1
19370,25000 25000 25000 90000 0 17 0 7 1 1,1
1857,21600 21600 21550 100980 1 14 3 10 2 1,1
7011,10000 10000 10000 57036 0 12 3 8 2 1,1
16312,25000 25000 25000 300000 1 14 3 5 1 1,1
4604,5000 5000 5000 32000 0 10 4 3 1 1,1
18708,3750 3750 3750 62000 0 16 0 10 0 5,1
366,16950 16950 16900 43000 1 23 5 8 0 1,1
2963,19000 19000 19000 57775 1 20 1 2 0 5,1
7427,8000 8000 8000 38500 0 13 3 -1 0 1,1
11734,14000 14000 14000 81000 0 15 3 10 1 5,1
17456,4000 4000 4000 16800 0 23 1 1 1 5,1
17686,12000 12000 12000 40000 1 12 4 3 1 0,1
16426,4500 4500 4500 24000 0 6 2 -1 2 1,1
1980,24000 24000 24000 115000 0 6 2 0 0 1,1
1961,20000 20000 20000 57000 0 7 2 9 2 0,1
15459,12000 12000 12000 37440 0 7 2 0 1 5,1
17862,10000 10000 10000 15600 1 12 4 2 0 5,1
14540,20000 20000 20000 98000 0 5 2 6 2 5,1
9153,11575 11575 11575 55000 0 16 0 6 1 1,1
4252,6500 6500 6500 40000 0 7 2 1 1 5,1
4159,6000 6000 6000 62179 0 11 4 10 1 1,1
15134,16000 16000 16000 49000 1 16 0 2 2 0,1
3882,18000 18000 18000 120572 0 13 4 10 2 1,1
7005,15000 15000 15000 53340 0 18 0 -1 0 5,1
12338,10000 10000 10000 47000 1 12 3 1 1 1,1
4870,18200 18200 18200 76000 0 17 0 10 0 0,1
13525,11500 11500 11500 83000 1 15 3 10 1 1,1
2415,15600 15600 15600 100500 1 13 3 2 1 1,1
14232,13000 13000 12950 46000 0 14 3 10 0 1,1
11702,12575 12575 12575 60292 0 8 4 10 2 1,1
2882,12000 12000 12000 70000 1 14 3 10 0 0,1
11889,12000 12000 12000 43462 1 15 0 10 0 5,1
19318,14400 14400 14400 50000 0 23 1 2 2 0,1
2810,6500 6500 6500 64000 0 10 4 0 2 5,1
12019,30850 30850 30850 39876 0 10 4 -1 0 0,1
16001,4500 4500 4500 27000 0 11 4 1 0 5,1
14710,12000 12000 12000 52000 0 5 2 9 2 1,1
13253,7500 7500 7500 30000 0 11 4 3 1 5,1
6167,18000 18000 18000 88000 0 8 4 7 0 5,1
836,20000 20000 20000 100000 0 16 3 3 0 1,1
6878,20000 20000 20000 78888 0 15 0 -1 1 0,1
17350,5000 5000 5000 28000 0 10 4 4 0 5,1
19894,20000 20000 19975 70000 0 9 4 10 1 5,1
19353,12000 12000 12000 45000 1 16 3 6 1 0,1
8155,13200 13200 13200 107000 1 15 3 5 2 5,1
5683,2500 2500 2500 43451 0 11 4 2 2 5,1
453,30000 30000 29700 120000 0 9 4 2 0 5,1
11929,35000 35000 34975 75000 0 26 1 7 1 5,1
